x,y,theta,v
1.00048,1.50558,1.48496,0.112035
1.00086,1.51537,1.53178,0.196019
1.00188,1.52828,1.49203,0.258916
1.00281,1.54355,1.51007,0.305961
1.00417,1.56055,1.49098,0.341099
1.00552,1.57886,1.49705,0.367282
1.00714,1.59813,1.48714,0.386737
1.00879,1.61812,1.4883,0.401135
1.0106,1.63863,1.48263,0.411733
1.01247,1.65952,1.48191,0.419476
1.01443,1.68068,1.47831,0.425074
1.01644,1.70204,1.47697,0.429059
1.01852,1.72353,1.47446,0.431834
1.02063,1.74511,1.47303,0.433699
1.0228,1.76675,1.47116,0.434881
1.02499,1.78842,1.46982,0.435551
1.02722,1.8101,1.46836,0.435835
1.02947,1.83177,1.46719,0.43583
1.03175,1.85343,1.46602,0.435608
1.03405,1.87507,1.46502,0.435224
1.03636,1.89668,1.46407,0.434719
1.03869,1.91826,1.46322,0.434122
1.04104,1.93981,1.46244,0.433458
1.04339,1.96132,1.46173,0.432743
1.04576,1.98279,1.46108,0.43199
1.04813,2.00422,1.46049,0.43121
1.05051,2.02561,1.45995,0.430409
1.0529,2.04695,1.45946,0.429593
1.05529,2.06826,1.45902,0.428766
1.05768,2.08952,1.45861,0.427932
1.06008,2.11074,1.45824,0.427092
1.06248,2.13191,1.4579,0.426249
1.06489,2.15305,1.45759,0.425403
1.06729,2.17414,1.45731,0.424556
1.0697,2.19519,1.45705,0.423708
1.0721,2.21619,1.45682,0.422861
1.0745,2.23716,1.4566,0.422014
1.07691,2.25808,1.45641,0.421168
1.07931,2.27896,1.45623,0.420322
1.08171,2.29979,1.45607,0.419478
1.08411,2.32059,1.45592,0.418635
1.08651,2.34134,1.45579,0.417794
1.0889,2.36205,1.45566,0.416954
1.0913,2.38272,1.45555,0.416115
1.09369,2.40334,1.45545,0.415279
1.09607,2.42393,1.45536,0.414443
1.09846,2.44447,1.45527,0.41361
1.10084,2.46497,1.4552,0.412777
1.10321,2.48543,1.45513,0.411947
