position_error,angular_error
7.48841,-0.0355028
7.48217,-0.00888311
7.47125,-0.0232666
7.45683,-0.0107391
7.43978,-0.0162703
7.42078,-0.0102343
7.40031,-0.0120814
7.37877,-0.00897709
7.35642,-0.00934179
7.33348,-0.00760968
7.31011,-0.00741911
7.28642,-0.00635726
7.26252,-0.00599353
7.23846,-0.0052814
7.21429,-0.00489663
7.19006,-0.00438401
7.16579,-0.00403325
7.14151,-0.00364661
7.11722,-0.00289493
7.09295,-0.00284543
7.0687,-0.00245091
7.04448,-0.0023005
7.02029,-0.00204633
6.99614,-0.00188546
6.97203,-0.00170001
6.94796,-0.00155513
6.92393,-0.00141034
6.89995,-0.00128673
6.87601,-0.00116997
6.85212,-0.00106651
6.82828,-0.000970935
6.80448,-0.000884898
6.78073,-0.000806119
6.75703,-0.000734732
6.73337,-0.000669585
6.70977,-0.000610381
6.6862,-0.00055642
6.66269,-0.000507318
6.63922,-0.000462583
6.6158,-0.000421853
6.59243,-0.00038475
6.56911,-0.000350957
6.54583,-0.000320173
6.52259,-0.000292132
6.49941,-0.000266592
6.47627,-0.000243348
6.45318,-0.00022217
6.43013,-0.000202877
6.40713,-0.000185299
6.38418,-0.000169283
6.36127,-0.000154691
6.33841,-0.000141396
6.3156,-0.000129301
6.29283,-0.000118287
6.27011,-0.000108249
6.24743,-9.91036e-05
6.2248,-9.07691e-05
6.20221,-8.31743e-05
6.17967,-7.62531e-05
6.15717,-6.99459e-05
6.13472,-6.41988e-05
6.11232,-5.89612e-05
6.08996,-5.41897e-05
6.06764,-4.9842e-05
6.04537,-4.58794e-05
6.02315,-4.22682e-05
6.00097,-3.89853e-05
5.97883,-3.60094e-05
5.95674,-3.32972e-05
5.93469,-3.08303e-05
5.91269,-2.85828e-05
5.89073,-2.65395e-05
5.86882,-2.46768e-05
5.84695,-2.29815e-05
5.82512,-2.14404e-05
5.80334,-2.00365e-05
5.7816,-1.87584e-05
5.75991,-1.75944e-05
5.73826,-1.65347e-05
5.71665,-1.55698e-05
5.69509,-1.47237e-05
5.67357,-1.39489e-05
5.65209,-1.32473e-05
5.63066,-1.26041e-05
5.60927,-1.2018e-05
5.58792,-1.14815e-05
5.56661,-1.09915e-05
5.54535,-1.05431e-05
5.52413,-1.01331e-05
5.50296,-9.75789e-06
5.48182,-9.41449e-06
5.46073,-9.10018e-06
5.43968,-8.81241e-06
5.41868,-8.54865e-06
5.39771,-8.30691e-06
5.37679,-8.08646e-06
5.35591,-7.88606e-06
5.33507,-7.71354e-06
5.31428,-7.57564e-06
5.29352,-7.44082e-06
5.27281,-7.31988e-06
5.25214,-7.20378e-06
5.23151,-7.0954e-06
5.21092,-6.99112e-06
5.19038,-6.89225e-06
5.16987,-6.79739e-06
5.14941,-6.70686e-06
5.12899,-6.61943e-06
5.1086,-6.53538e-06
5.08826,-6.45421e-06
5.06796,-6.37591e-06
5.04771,-6.30151e-06
5.02749,-6.23527e-06
5.00731,-6.17051e-06
4.98718,-6.11044e-06
4.96708,-6.0527e-06
4.94702,-5.99827e-06
4.92701,-5.9462e-06
4.90703,-5.8967e-06
4.8871,-5.84886e-06
4.8672,-5.80258e-06
4.84735,-5.75727e-06
4.82754,-5.71288e-06
4.80776,-5.66836e-06
4.78803,-5.62612e-06
4.76833,-5.58414e-06
4.74868,-5.54899e-06
4.72906,-5.51208e-06
4.70948,-5.47769e-06
4.68995,-5.44112e-06
4.67045,-5.40245e-06
4.65099,-5.36606e-06
4.63157,-5.32966e-06
4.61219,-5.29459e-06
4.59285,-5.25999e-06
4.57355,-5.2263e-06
4.55428,-5.19319e-06
4.53506,-5.16081e-06
4.51587,-5.12459e-06
4.49672,-5.08713e-06
4.47761,-5.05146e-06
4.45854,-5.0161e-06
4.43951,-4.98192e-06
4.42052,-4.94833e-06
4.40156,-4.91563e-06
4.38264,-4.88356e-06
4.36376,-4.85163e-06
4.34492,-4.81828e-06
4.32612,-4.78632e-06
4.30735,-4.75436e-06
4.28863,-4.72326e-06
4.26994,-4.67497e-06
4.25128,-4.62858e-06
4.23267,-4.56987e-06
4.21409,-4.5218e-06
4.19555,-4.47159e-06
4.17705,-4.42674e-06
4.15858,-4.38249e-06
4.14015,-4.31544e-06
4.12176,-4.25537e-06
4.10341,-4.19847e-06
4.08509,-4.14663e-06
4.06681,-4.09793e-06
4.04856,-4.05072e-06
4.03036,-4.0056e-06
4.01219,-3.96229e-06
3.99405,-3.92475e-06
3.97595,-3.86906e-06
3.95789,-3.81043e-06
3.93987,-3.75454e-06
3.92188,-3.70035e-06
3.90393,-3.64872e-06
3.88601,-3.59904e-06
3.86813,-3.55152e-06
3.85029,-3.50587e-06
3.83248,-3.46213e-06
3.81471,-3.42013e-06
3.79697,-3.37985e-06
3.77927,-3.34116e-06
3.7616,-3.30403e-06
3.74397,-3.26838e-06
3.72638,-3.23414e-06
3.70882,-3.20318e-06
3.6913,-3.17513e-06
3.67381,-3.14717e-06
3.65635,-3.1207e-06
3.63894,-3.09481e-06
3.62155,-3.06999e-06
3.60421,-3.04591e-06
3.58689,-3.02109e-06
3.56961,-2.9767e-06
3.55237,-2.94109e-06
3.53516,-2.90156e-06
3.51799,-2.86649e-06
3.50085,-2.83093e-06
3.48374,-2.79788e-06
3.46667,-2.76547e-06
3.44964,-2.73476e-06
3.43263,-2.70506e-06
3.41567,-2.67674e-06
3.39873,-2.64951e-06
3.38183,-2.62349e-06
3.36497,-2.59702e-06
3.34813,-2.54595e-06
3.33134,-2.50448e-06
3.31457,-2.46075e-06
3.29784,-2.42298e-06
3.28115,-2.38605e-06
3.26448,-2.35281e-06
3.24785,-2.32857e-06
3.23126,-2.3043e-06
3.21469,-2.28281e-06
3.19817,-2.262e-06
3.18167,-2.24298e-06
3.16521,-2.22498e-06
3.14878,-2.20837e-06
3.13238,-2.19283e-06
3.11602,-2.17848e-06
3.09969,-2.16517e-06
3.08339,-2.15382e-06
3.06712,-2.15298e-06
3.05089,-2.14773e-06
3.03469,-2.15097e-06
3.01852,-2.15676e-06
3.00239,-2.15962e-06
2.98629,-2.15543e-06
2.97022,-2.15493e-06
2.95418,-2.15242e-06
2.93817,-2.14962e-06
2.9222,-2.13431e-06
2.90626,-2.12779e-06
2.89035,-2.11727e-06
2.87447,-2.11061e-06
2.85863,-2.10299e-06
2.84282,-2.09729e-06
2.82704,-2.09942e-06
2.81129,-2.11168e-06
2.79557,-2.11644e-06
2.77988,-2.12463e-06
2.76423,-2.12965e-06
2.7486,-2.13565e-06
2.73301,-2.14022e-06
2.71745,-2.14737e-06
2.70192,-2.15255e-06
2.68643,-2.158e-06
2.67096,-2.16242e-06
2.65553,-2.16673e-06
2.64012,-2.17048e-06
2.62475,-2.17405e-06
2.60941,-2.17731e-06
2.59409,-2.18041e-06
2.57881,-2.18335e-06
2.56356,-2.18621e-06
2.54834,-2.189e-06
2.53316,-2.19177e-06
2.518,-2.19455e-06
2.50287,-2.19737e-06
2.48777,-2.20027e-06
2.47271,-2.20326e-06
2.45767,-2.20637e-06
2.44266,-2.2109e-06
2.42769,-2.21648e-06
2.41274,-2.22166e-06
2.39783,-2.22709e-06
2.38294,-2.23237e-06
2.36809,-2.23779e-06
2.35326,-2.24705e-06
2.33846,-2.26296e-06
2.3237,-2.27498e-06
2.30896,-2.28809e-06
2.29425,-2.29915e-06
2.27958,-2.3122e-06
2.26493,-2.3358e-06
2.25031,-2.35344e-06
2.23572,-2.37232e-06
2.22116,-2.38747e-06
2.20663,-2.40201e-06
2.19213,-2.41427e-06
2.17766,-2.42552e-06
2.16322,-2.44324e-06
2.1488,-2.46267e-06
2.13442,-2.47832e-06
2.12006,-2.49163e-06
2.10574,-2.50383e-06
2.09144,-2.51403e-06
2.07717,-2.52227e-06
