x,y,theta,v
1.00017,1.50624,1.54417,0.124826
1.0003,1.51716,1.55852,0.218425
1.00066,1.53158,1.54597,0.288523
1.00099,1.54863,1.55146,0.340953
1.00147,1.56762,1.5454,0.380107
1.00195,1.58808,1.54722,0.409283
1.00253,1.60962,1.54409,0.430963
1.00312,1.63197,1.54442,0.447007
1.00376,1.6549,1.54267,0.458818
1.00443,1.67826,1.54245,0.467447
1.00512,1.70194,1.54137,0.473685
1.00583,1.72583,1.54099,0.478127
1.00657,1.74988,1.54026,0.48122
1.00732,1.77403,1.53986,0.483299
1.00808,1.79825,1.53933,0.484617
1.00885,1.82251,1.53896,0.485363
1.00963,1.84678,1.53856,0.48568
1.01044,1.87105,1.5378,0.485687
1.01124,1.89531,1.53774,0.485438
1.01205,1.91955,1.53734,0.485008
1.01286,1.94376,1.53718,0.484443
1.01368,1.96793,1.53692,0.483777
1.0145,1.99207,1.53675,0.483036
1.01533,2.01617,1.53656,0.482238
1.01616,2.04022,1.53641,0.481399
1.01699,2.06423,1.53626,0.480529
1.01782,2.0882,1.53613,0.479636
1.01865,2.11212,1.53601,0.478727
1.01948,2.136,1.53591,0.477805
1.02032,2.15983,1.53581,0.476875
1.02115,2.18361,1.53572,0.475939
1.02199,2.20735,1.53564,0.474999
1.02282,2.23103,1.53556,0.474057
1.02366,2.25467,1.5355,0.473113
1.02449,2.27827,1.53543,0.472168
1.02533,2.30181,1.53538,0.471224
1.02616,2.32531,1.53533,0.47028
1.02699,2.34877,1.53528,0.469337
1.02783,2.37217,1.53524,0.468395
1.02866,2.39553,1.5352,0.467454
1.02949,2.41884,1.53517,0.466515
1.03032,2.4421,1.53513,0.465577
1.03115,2.46532,1.5351,0.464641
1.03197,2.48849,1.53508,0.463707
1.0328,2.51162,1.53505,0.462774
1.03363,2.53469,1.53503,0.461843
1.03445,2.55772,1.53501,0.460914
1.03528,2.58071,1.53499,0.459987
1.0361,2.60365,1.53498,0.459062
1.03692,2.62654,1.53496,0.458138
1.03774,2.64939,1.53495,0.457216
1.03856,2.67219,1.53494,0.456296
1.03937,2.69494,1.53492,0.455378
1.04019,2.71765,1.53491,0.454462
1.041,2.74031,1.5349,0.453547
1.04181,2.76293,1.5349,0.452635
1.04262,2.7855,1.53489,0.451724
1.04343,2.80803,1.53488,0.450815
1.04424,2.83051,1.53487,0.449908
1.04505,2.85294,1.53487,0.449003
1.04585,2.87533,1.53486,0.448099
1.04666,2.89768,1.53486,0.447198
1.04746,2.91998,1.53485,0.446298
1.04826,2.94223,1.53485,0.4454
1.04906,2.96445,1.53485,0.444504
1.04985,2.98661,1.53484,0.443609
1.05065,3.00873,1.53484,0.442717
1.05144,3.03081,1.53484,0.441826
1.05224,3.05284,1.53483,0.440937
1.05303,3.07483,1.53483,0.440049
1.05382,3.09677,1.53483,0.439164
1.05461,3.11867,1.53483,0.43828
1.05539,3.14053,1.53482,0.437398
1.05618,3.16234,1.53482,0.436518
1.05696,3.18411,1.53482,0.43564
1.05774,3.20583,1.53482,0.434763
1.05852,3.22751,1.53482,0.433889
1.0593,3.24915,1.53482,0.433016
1.06008,3.27074,1.53482,0.432144
1.06085,3.29229,1.53482,0.431275
1.06163,3.3138,1.53482,0.430407
1.0624,3.33526,1.53481,0.429541
1.06317,3.35668,1.53481,0.428677
1.06394,3.37806,1.53481,0.427814
1.06471,3.39939,1.53481,0.426953
1.06548,3.42069,1.53481,0.426094
1.06624,3.44193,1.53481,0.425237
1.067,3.46314,1.53481,0.424381
1.06777,3.4843,1.53481,0.423527
1.06853,3.50542,1.53481,0.422675
1.06929,3.5265,1.53481,0.421824
1.07004,3.54753,1.53481,0.420976
1.0708,3.56853,1.53481,0.420128
1.07155,3.58948,1.53481,0.419283
1.07231,3.61039,1.53481,0.418439
1.07306,3.63125,1.53481,0.417597
1.07381,3.65208,1.53481,0.416757
1.07456,3.67286,1.53481,0.415919
1.0753,3.6936,1.53481,0.415082
1.07605,3.7143,1.53481,0.414247
1.07679,3.73496,1.53481,0.413413
1.07753,3.75557,1.53481,0.412581
1.07827,3.77615,1.53481,0.411751
1.07901,3.79668,1.53481,0.410922
1.07975,3.81717,1.53481,0.410096
1.08049,3.83762,1.53481,0.40927
1.08122,3.85803,1.53481,0.408447
1.08196,3.8784,1.53481,0.407625
1.08269,3.89872,1.53481,0.406805
1.08342,3.91901,1.53481,0.405986
1.08415,3.93926,1.53481,0.405169
1.08487,3.95946,1.53481,0.404354
1.0856,3.97962,1.53481,0.40354
1.08632,3.99975,1.53481,0.402728
1.08705,4.01983,1.53481,0.401918
1.08777,4.03987,1.53481,0.401109
1.08849,4.05988,1.53481,0.400302
1.08921,4.07984,1.53481,0.399497
1.08993,4.09976,1.53481,0.398693
1.09064,4.11964,1.53481,0.397891
1.09136,4.13948,1.53481,0.39709
1.09207,4.15928,1.53481,0.396291
1.09278,4.17905,1.53481,0.395494
1.09349,4.19877,1.53481,0.394698
1.0942,4.21845,1.53481,0.393904
1.09491,4.23809,1.53481,0.393111
1.09561,4.2577,1.53481,0.39232
1.09632,4.27726,1.53481,0.391531
1.09702,4.29679,1.53481,0.390743
1.09772,4.31627,1.53481,0.389957
1.09842,4.33572,1.53481,0.389172
1.09912,4.35512,1.53481,0.388389
1.09982,4.37449,1.53481,0.387607
1.10051,4.39382,1.53481,0.386827
1.10121,4.41311,1.53481,0.386049
1.1019,4.43236,1.53481,0.385272
1.10259,4.45157,1.53481,0.384497
1.10328,4.47075,1.5348,0.383723
1.10397,4.48988,1.5348,0.382951
1.10466,4.50898,1.5348,0.382181
1.10535,4.52804,1.5348,0.381412
1.10603,4.54706,1.5348,0.380644
1.10671,4.56604,1.5348,0.379878
1.1074,4.58498,1.5348,0.379114
1.10808,4.60389,1.5348,0.378351
1.10876,4.62275,1.5348,0.37759
1.10944,4.64158,1.5348,0.37683
1.11011,4.66038,1.5348,0.376072
1.11079,4.67913,1.5348,0.375315
1.11146,4.69784,1.5348,0.37456
1.11213,4.71652,1.5348,0.373806
1.1128,4.73516,1.5348,0.373054
1.11347,4.75377,1.5348,0.372303
1.11414,4.77233,1.5348,0.371554
1.11481,4.79086,1.5348,0.370807
1.11548,4.80935,1.5348,0.37006
1.11614,4.82781,1.5348,0.369316
1.1168,4.84622,1.5348,0.368573
1.11747,4.8646,1.5348,0.367831
1.11813,4.88294,1.5348,0.367091
1.11879,4.90125,1.5348,0.366352
1.11944,4.91952,1.5348,0.365615
1.1201,4.93775,1.5348,0.364879
1.12075,4.95595,1.5348,0.364145
1.12141,4.97411,1.5348,0.363412
1.12206,4.99223,1.5348,0.362681
1.12271,5.01031,1.5348,0.361951
1.12336,5.02836,1.5348,0.361223
1.12401,5.04638,1.5348,0.360496
1.12466,5.06435,1.5348,0.359771
1.1253,5.08229,1.5348,0.359047
