acceleration,angular_velocity
2.24069,-1.71677
1.67969,0.936473
1.25793,-0.79499
0.940907,0.360847
0.702751,-0.381967
0.523666,0.121421
0.389105,-0.198162
0.287964,0.0233026
0.211964,-0.113493
0.154857,-0.0144786
0.111949,-0.071989
0.0797125,-0.026797
0.0554948,-0.0500836
0.0373035,-0.0287116
0.0236413,-0.0373702
0.0133827,-0.0266717
0.00568204,-0.0292008
-9.64219e-05,-0.0233922
-0.00443028,-0.0234575
-0.00767852,-0.0199755
-0.0101109,-0.0191409
-0.0119302,-0.0168345
-0.0132887,-0.015753
-0.014301,-0.0140926
-0.0150531,-0.0130246
-0.0156096,-0.0117565
-0.0160192,-0.0107951
-0.0163184,-0.00979017
-0.0165347,-0.00895897
-0.0166887,-0.00814513
-0.0167958,-0.00744028
-0.0168677,-0.00677325
-0.0169132,-0.00618135
-0.0169389,-0.00563106
-0.0169498,-0.00513648
-0.0169494,-0.00468093
-0.0169406,-0.00426872
-0.0169256,-0.0038909
-0.0169059,-0.00354781
-0.0168826,-0.00323414
-0.0168567,-0.00294877
-0.0168289,-0.00268823
-0.0167996,-0.00245096
-0.0167692,-0.00223449
-0.0167381,-0.00203724
-0.0167063,-0.00185735
-0.0166742,-0.0016934
-0.0166417,-0.00154389
-0.0166091,-0.00140761
-0.0165763,-0.00128336
-0.0165434,-0.00117008
-0.0165105,-0.0010668
-0.0164775,-0.000972652
-0.0164445,-0.00088681
-0.0164116,-0.00080855
-0.0163787,-0.000737199
-0.0163458,-0.000672148
-0.016313,-0.00061284
-0.0162802,-0.000558767
-0.0162475,-0.000509468
-0.0162148,-0.000464521
-0.0161822,-0.000423542
-0.0161497,-0.000386179
-0.0161172,-0.000352115
-0.0160848,-0.000321056
-0.0160524,-0.000292739
-0.0160201,-0.00026692
-0.0159879,-0.00024338
-0.0159557,-0.000221918
-0.0159236,-0.000202348
-0.0158916,-0.000184506
-0.0158596,-0.000168238
-0.0158277,-0.000153404
-0.0157958,-0.00013988
-0.015764,-0.000127548
-0.0157323,-0.000116305
-0.0157007,-0.000106053
-0.0156691,-9.67048e-05
-0.0156376,-8.81815e-05
-0.0156061,-8.04098e-05
-0.0155747,-7.33234e-05
-0.0155433,-6.6862e-05
-0.0155121,-6.09703e-05
-0.0154809,-5.5598e-05
-0.0154497,-5.06994e-05
-0.0154186,-4.62327e-05
-0.0153876,-4.21598e-05
-0.0153566,-3.84458e-05
-0.0153257,-3.50593e-05
-0.0152949,-3.19713e-05
-0.0152641,-2.91554e-05
-0.0152334,-2.65877e-05
-0.0152028,-2.42462e-05
-0.0151722,-2.21111e-05
-0.0151416,-2.01642e-05
-0.0151112,-1.83888e-05
-0.0150808,-1.67698e-05
-0.0150504,-1.52934e-05
-0.0150201,-1.39472e-05
-0.0149899,-1.27195e-05
-0.0149597,-1.15999e-05
-0.0149296,-1.0579e-05
-0.0148996,-9.64793e-06
-0.0148696,-8.7989e-06
-0.0148397,-8.02464e-06
-0.0148098,-7.31855e-06
-0.01478,-6.67464e-06
-0.0147503,-6.08743e-06
-0.0147206,-5.55191e-06
-0.014691,-5.06353e-06
-0.0146614,-4.61815e-06
-0.0146319,-4.21198e-06
-0.0146025,-3.84155e-06
-0.0145731,-3.50372e-06
-0.0145438,-3.19563e-06
-0.0145145,-2.91465e-06
-0.0144853,-2.65839e-06
-0.0144562,-2.42468e-06
-0.0144271,-2.21154e-06
-0.0143981,-2.01714e-06
-0.0143691,-1.83985e-06
-0.0143402,-1.67815e-06
-0.0143113,-1.53067e-06
-0.0142825,-1.39617e-06
-0.0142538,-1.2735e-06
-0.0142251,-1.16161e-06
-0.0141965,-1.05956e-06
-0.0141679,-9.6648e-07
-0.0141394,-8.81587e-07
-0.0141109,-8.04155e-07
-0.0140826,-7.33532e-07
-0.0140542,-6.69115e-07
-0.0140259,-6.10358e-07
-0.0139977,-5.5677e-07
-0.0139696,-5.07887e-07
-0.0139414,-4.63303e-07
-0.0139134,-4.22634e-07
-0.0138854,-3.85539e-07
-0.0138575,-3.51703e-07
-0.0138296,-3.20839e-07
-0.0138017,-2.92686e-07
-0.013774,-2.67004e-07
-0.0137463,-2.43579e-07
-0.0137186,-2.22212e-07
-0.013691,-2.0272e-07
-0.0136634,-1.84941e-07
-0.0136359,-1.68722e-07
-0.0136085,-1.53927e-07
-0.0135811,-1.4043e-07
-0.0135538,-1.28118e-07
-0.0135265,-1.16887e-07
-0.0134993,-1.06641e-07
-0.0134721,-9.72946e-08
-0.013445,-8.87678e-08
-0.013418,-8.09895e-08
-0.013391,-7.38933e-08
-0.013364,-6.74196e-08
-0.0133372,-6.15137e-08
-0.0133103,-5.61257e-08
-0.0132835,-5.12103e-08
-0.0132568,-4.67258e-08
-0.0132301,-4.26345e-08
-0.0132035,-3.89019e-08
-0.0131769,-3.54965e-08
-0.0131504,-3.23896e-08
-0.013124,-2.95549e-08
-0.0130976,-2.69687e-08
-0.0130712,-2.46083e-08
-0.0130449,-2.24509e-08
-0.0130187,-2.04901e-08
-0.0129925,-1.86955e-08
-0.0129663,-1.7061e-08
-0.0129402,-1.5569e-08
-0.0129142,-1.42082e-08
-0.0128882,-1.29667e-08
-0.0128623,-1.18332e-08
-0.0128364,-1.07994e-08
-0.0128106,-9.85568e-09
-0.0127848,-8.99456e-09
-0.0127591,-8.20912e-09
-0.0127334,-7.4922e-09
-0.0127078,-6.83814e-09
-0.0126822,-6.24121e-09
-0.0126567,-5.69655e-09
-0.0126312,-5.19949e-09
-0.0126058,-4.74592e-09
-0.0125804,-4.33199e-09
-0.0125551,-3.95439e-09
-0.0125298,-3.60963e-09
-0.0125046,-3.29506e-09
-0.0124795,-3.00806e-09
-0.0124544,-2.74587e-09
-0.0124293,-2.50729e-09
-0.0124043,-2.28979e-09
-0.0123793,-2.09077e-09
-0.0123544,-1.90871e-09
-0.0123296,-1.74381e-09
-0.0123048,-1.59236e-09
-0.01228,-1.45387e-09
-0.0122553,-1.32765e-09
-0.0122306,-1.21232e-09
-0.012206,-1.10679e-09
-0.0121815,-1.01081e-09
-0.0121569,-9.23179e-10
-0.0121325,-8.43207e-10
-0.0121081,-7.70197e-10
-0.0120837,-7.03556e-10
-0.0120594,-6.45412e-10
-0.0120351,-5.90769e-10
-0.0120109,-5.3896e-10
-0.0119867,-4.92938e-10
-0.0119626,-4.5008e-10
-0.0119385,-4.11516e-10
-0.0119145,-3.75376e-10
-0.0118906,-3.45842e-10
-0.0118666,-3.16594e-10
-0.0118427,-2.89557e-10
-0.0118189,-2.64565e-10
-0.0117951,-2.42006e-10
-0.0117714,-2.21278e-10
-0.0117477,-2.02393e-10
-0.0117241,-1.85122e-10
-0.0117005,-1.6937e-10
-0.0116769,-1.54976e-10
-0.0116534,-1.41838e-10
-0.01163,-1.29841e-10
-0.0116066,-1.18875e-10
-0.0115832,-1.08725e-10
-0.0115599,-9.99926e-11
-0.0115367,-9.43441e-11
-0.0115135,-8.46563e-11
-0.0114903,-7.87994e-11
-0.0114672,-7.14714e-11
-0.0114441,-6.60864e-11
-0.0114211,-6.03035e-11
-0.0113981,-5.5595e-11
-0.0113752,-5.08428e-11
-0.0113523,-4.56771e-11
-0.0113294,-4.19752e-11
-0.0113066,-3.86574e-11
-0.0112839,-3.55809e-11
-0.0112612,-3.27968e-11
-0.0112385,-3.0238e-11
-0.0112159,-2.97544e-11
-0.0111933,-2.63514e-11
-0.0111708,-2.50742e-11
-0.0111483,-2.26946e-11
-0.0111259,-2.13163e-11
-0.0111035,-1.95304e-11
-0.0110812,-1.82441e-11
-0.0110589,-1.68441e-11
-0.0110366,-1.5704e-11
-0.0110144,-1.4574e-11
-0.0109922,-1.35977e-11
-0.0109701,-1.26608e-11
-0.0109481,-1.18369e-11
-0.010926,-1.10676e-11
-0.010904,-1.03684e-11
-0.0108821,-9.72406e-12
-0.0108602,-9.13456e-12
-0.0108384,-8.60192e-12
-0.0108165,-8.10684e-12
-0.0107948,-7.654e-12
-0.0107731,-7.24076e-12
-0.0107514,-6.8618e-12
-0.0107297,-6.51513e-12
-0.0107082,-6.19278e-12
-0.0106866,-5.90608e-12
-0.0106651,-5.63308e-12
-0.0106436,-5.38776e-12
-0.0106222,-5.1615e-12
-0.0106009,-4.95096e-12
-0.0105795,-4.90485e-12
-0.0105582,-7.66305e-12
-0.010537,-5.24667e-12
-0.0105158,-7.06364e-12
-0.0104946,-6.44462e-12
-0.0104735,-6.21702e-12
-0.0104524,-5.78272e-12
-0.0104314,-5.53609e-12
-0.0104104,-5.20601e-12
-0.0103895,-4.97035e-12
-0.0103686,-4.71523e-12
-0.0103477,-4.52152e-12
-0.0103269,-4.32111e-12
-0.0103061,-2.92825e-12
-0.0102854,-3.50775e-12
-0.0102647,-2.9996e-12
-0.010244,-3.19029e-12
-0.0102234,-2.92866e-12
-0.0102028,-2.97547e-12
-0.0101823,-2.82911e-12
-0.0101618,-2.82e-12
-0.0101414,-2.72433e-12
-0.010121,-2.69732e-12
-0.0101006,-2.62974e-12
-0.0100803,-2.5942e-12
-0.01006,-2.54675e-12
-0.0100397,-2.50672e-12
-0.0100195,-2.47146e-12
-0.00999938,-2.43098e-12
-0.00997926,-2.40661e-12
-0.00995918,-2.36772e-12
-0.00993914,-2.34697e-12
-0.00991914,-2.31438e-12
-0.00989918,-2.29661e-12
-0.00987926,-2.26636e-12
-0.00985938,-2.24696e-12
-0.00983955,-3.97222e-12
-0.00981975,-3.02983e-12
-0.00979999,-3.42633e-12
-0.00978027,-2.95497e-12
-0.00976059,-3.07662e-12
-0.00974095,-2.82005e-12
-0.0192361,2.20789e-09
-0.0288631,1.02339e-09
-0.0359969,1.07758e-09
-0.0412392,3.90109e-10
-0.0450472,3.2316e-10
-0.0477681,-3.11489e-11
-0.0496654,-8.9135e-11
-0.0509394,-2.58508e-10
-0.0517421,-2.87372e-10
-0.0521889,-3.58459e-10
-0.0523675,-3.63328e-10
-0.0523443,-3.83953e-10
-0.0521698,-3.73777e-10
-0.0518825,-3.69616e-10
-0.0515113,-3.51587e-10
-0.0510784,-3.3623e-10
-0.0506005,-3.15089e-10
-0.0500903,-2.95607e-10
-0.0495573,-2.74177e-10
-0.049009,-2.54137e-10
-0.0484507,-2.33934e-10
-0.0478866,-2.16064e-10
-0.0473198,-1.99609e-10
-0.0467528,-1.80915e-10
-0.0461873,-1.655e-10
-0.0456246,-1.49706e-10
-0.0450657,-1.38364e-10
-0.0445114,-1.25173e-10
-0.0439621,-1.1245e-10
-0.0434182,-1.01059e-10
-0.04288,-9.03325e-11
-0.0423478,-8.14515e-11
-0.0418215,-7.26496e-11
-0.0413014,-6.40834e-11
-0.0407874,-5.65656e-11
-0.0402795,-4.94621e-11
-0.0397778,-4.3107e-11
-0.0392821,-3.72103e-11
-0.0387926,-3.18875e-11
-0.038309,-2.69918e-11
-0.0378314,-2.25762e-11
-0.0373597,-1.85651e-11
-0.0368939,-1.49202e-11
-0.0364338,-1.18709e-11
-0.0359794,-1.01536e-11
-0.0355307,-6.331e-12
-0.0350876,-4.37421e-12
-0.03465,-1.61268e-12
-0.0342179,2.17107e-13
-0.0337911,2.3038e-12
-0.0333697,3.87774e-12
-0.0329535,5.7609e-12
-0.0325425,7.34691e-12
-0.0321366,8.30748e-12
-0.0317357,9.46199e-12
-0.0313399,1.02749e-11
-0.030949,1.11282e-11
-0.030563,1.17788e-11
-0.0301818,1.24051e-11
-0.0298054,1.29029e-11
-0.0294336,1.32875e-11
-0.0290665,1.36007e-11
-0.028704,1.38627e-11
-0.028346,1.40745e-11
-0.0279924,1.4228e-11
-0.0276433,1.43486e-11
-0.0272985,1.44224e-11
-0.026958,1.4451e-11
-0.0266218,1.44651e-11
-0.0262897,1.44309e-11
-0.0259618,1.43859e-11
-0.025638,1.43085e-11
-0.0253183,1.42041e-11
-0.0250025,1.40926e-11
-0.0246906,1.39501e-11
-0.0243827,1.38069e-11
-0.0240786,1.36329e-11
-0.0237782,1.3457e-11
-0.0234817,1.31765e-11
-0.0231888,1.29199e-11
-0.0228996,1.26523e-11
-0.0226139,1.23849e-11
-0.0223319,1.21321e-11
-0.0220533,1.1888e-11
-0.0217783,1.16262e-11
-0.0215067,1.1513e-11
-0.0212384,1.12205e-11
-0.0209735,1.09717e-11
-0.0207119,1.07138e-11
-0.0204536,1.04637e-11
-0.0201985,1.02192e-11
-0.0199466,9.97725e-12
-0.0196978,9.74089e-12
-0.0194521,9.49211e-12
-0.0192095,9.09994e-12
-0.0189699,8.82984e-12
-0.0187333,8.50678e-12
-0.0184996,8.24615e-12
-0.0182689,7.9735e-12
-0.018041,7.73096e-12
-0.017816,7.48404e-12
-0.0175938,7.2642e-12
-0.0173743,7.04362e-12
-0.0171576,6.8351e-12
-0.0169436,6.65145e-12
-0.0167323,6.45153e-12
-0.0165236,6.26877e-12
-0.0163175,6.09468e-12
-0.016114,5.93206e-12
-0.015913,5.77439e-12
-0.0157145,5.62048e-12
-0.0155185,5.46248e-12
-0.015325,5.3345e-12
-0.0151338,5.18138e-12
-0.0149451,5.05922e-12
-0.0147587,4.92352e-12
-0.0145746,4.80305e-12
-0.0143928,4.67663e-12
-0.0142133,4.57514e-12
-0.014036,4.46504e-12
-0.013861,4.36513e-12
-0.0136881,4.26021e-12
-0.0135174,4.17172e-12
-0.0133488,4.05915e-12
-0.0131823,3.98957e-12
-0.0130178,3.88568e-12
-0.0128555,3.78879e-12
-0.0126951,3.70693e-12
-0.0125368,3.61622e-12
-0.0123804,3.55077e-12
-0.012226,3.45871e-12
-0.0120735,3.38345e-12
-0.0119229,3.30179e-12
-0.0117742,3.23514e-12
-0.0116274,3.14963e-12
-0.0114823,3.08067e-12
-0.0113391,3.01837e-12
-0.0111977,2.93352e-12
-0.011058,2.89081e-12
-0.0109201,2.81011e-12
-0.0107839,2.77402e-12
-0.0106494,2.68765e-12
-0.0105166,2.63183e-12
-0.0103854,2.58002e-12
-0.0102559,2.50232e-12
-0.010128,2.46276e-12
-0.0100016,2.38948e-12
-0.0098769,2.35117e-12
-0.00975371,2.27863e-12
-0.00963206,2.25055e-12
-0.00951192,2.17973e-12
-0.00939328,2.13952e-12
-0.00927612,2.08004e-12
-0.00916042,2.04332e-12
-0.00904617,1.98747e-12
-0.00893334,1.95452e-12
-0.00882192,1.90591e-12
-0.00871189,1.85768e-12
-0.00860323,1.81657e-12
-0.00849592,1.78063e-12
-0.00838996,1.73395e-12
-0.00828531,1.69389e-12
-0.00818197,1.65187e-12
-0.00807992,1.61727e-12
-0.00797915,1.58814e-12
-0.00787962,1.53856e-12
-0.00778135,1.51389e-12
-0.00768429,1.48286e-12
-0.00758845,1.43355e-12
-0.0074938,1.39531e-12
-0.00740033,1.37086e-12
-0.00730803,1.34625e-12
-0.00721688,1.32421e-12
-0.00712687,1.27813e-12
-0.00703798,1.25602e-12
-0.0069502,1.21995e-12
-0.00686351,1.19769e-12
-0.0067779,1.18421e-12
-0.00669337,1.16606e-12
-0.00660988,1.11742e-12
-0.00652744,1.12161e-12
-0.00644603,1.06342e-12
-0.00636563,1.05547e-12
-0.00628623,1.03585e-12
2.44266,-38.0758
1.83762,20.5551
1.3786,-16.3551
1.03165,6.83489
0.770206,-7.18707
0.579649,1.78125
0.431045,-3.78567
0.321103,0.0312083
0.237402,-2.27061
0.174202,-0.55183
0.12666,-1.50531
0.090756,-0.71021
