position_error,angular_error
6.20655,-0.114451
6.20095,-0.0286387
6.19118,-0.0755817
6.17824,-0.0359072
6.16297,-0.0540835
6.14592,-0.0350822
6.12757,-0.0412765
6.10825,-0.0314677
6.0882,-0.0327403
6.06762,-0.0271575
6.04666,-0.0265253
6.02541,-0.0230067
6.00396,-0.0217442
5.98237,-0.0193095
5.96069,-0.0179389
5.93895,-0.0161293
5.91717,-0.0148501
5.89538,-0.0134396
5.87359,-0.0123155
5.85182,-0.0111841
5.83006,-0.0102233
5.80832,-0.00930097
5.78662,-0.00849098
5.76494,-0.00773229
5.74331,-0.00705414
5.72171,-0.00642708
5.70015,-0.00586134
5.67863,-0.00534175
5.65715,-0.00487066
5.63571,-0.00443954
5.61431,-0.00404765
5.59296,-0.00368967
5.57165,-0.00336383
5.55038,-0.00306647
5.52915,-0.0027956
5.50796,-0.00254855
5.48682,-0.00232342
5.46572,-0.00211813
5.44466,-0.00193102
5.42365,-0.00176043
5.40267,-0.00160493
5.38174,-0.00146316
5.36085,-0.00133392
5.34,-0.0012161
5.3192,-0.0011087
5.29843,-0.00101078
5.27771,-0.00092152
5.25703,-0.000840142
5.23639,-0.000765954
5.21579,-0.00069832
5.19524,-0.000636662
5.17472,-0.00058045
5.15425,-0.000529203
5.13382,-0.000482483
5.11343,-0.00043989
5.09308,-0.000401059
5.07277,-0.000365657
5.0525,-0.000333381
5.03227,-0.000303956
5.01209,-0.00027713
4.99194,-0.000252672
4.97183,-0.000230374
4.95177,-0.000210044
4.93174,-0.00019151
4.91176,-0.000174611
4.89182,-0.000159205
4.87191,-0.000145159
4.85205,-0.000132352
4.83222,-0.000120676
4.81244,-0.000110031
4.7927,-0.000100325
4.77299,-9.1476e-05
4.75333,-8.34078e-05
4.7337,-7.60516e-05
4.71411,-6.93445e-05
4.69457,-6.32293e-05
4.67506,-5.76536e-05
4.65559,-5.25699e-05
4.63616,-4.79347e-05
4.61678,-4.37084e-05
4.59742,-3.9855e-05
4.57811,-3.63414e-05
4.55884,-3.31378e-05
4.53961,-3.02168e-05
4.52041,-2.75534e-05
4.50125,-2.51249e-05
4.48214,-2.29106e-05
4.46306,-2.08915e-05
4.44401,-1.90505e-05
4.42501,-1.73718e-05
4.40605,-1.58412e-05
4.38712,-1.44455e-05
4.36823,-1.31728e-05
4.34938,-1.20123e-05
4.33057,-1.09541e-05
4.31179,-9.98923e-06
4.29306,-9.10938e-06
4.27436,-8.30707e-06
4.2557,-7.57547e-06
4.23707,-6.90835e-06
4.21849,-6.30001e-06
4.19994,-5.74528e-06
4.18143,-5.23942e-06
4.16295,-4.77814e-06
4.14451,-4.35749e-06
4.12611,-3.9739e-06
4.10775,-3.62411e-06
4.08942,-3.30512e-06
4.07113,-3.01423e-06
4.05288,-2.74896e-06
4.03467,-2.50705e-06
4.01649,-2.28644e-06
3.99834,-2.08526e-06
3.98024,-1.9018e-06
3.96217,-1.73449e-06
3.94413,-1.58191e-06
3.92614,-1.44276e-06
3.90818,-1.31586e-06
3.89025,-1.20013e-06
3.87236,-1.09458e-06
3.85451,-9.98328e-07
3.83669,-9.10545e-07
3.81891,-8.30486e-07
3.80117,-7.57472e-07
3.78346,-6.90883e-07
3.76578,-6.30152e-07
3.74814,-5.74763e-07
3.73054,-5.24248e-07
3.71297,-4.78175e-07
3.69544,-4.36155e-07
3.67795,-3.97831e-07
3.66048,-3.62877e-07
3.64306,-3.30997e-07
3.62567,-3.01921e-07
3.60831,-2.75401e-07
3.59099,-2.51212e-07
3.5737,-2.2915e-07
3.55645,-2.09028e-07
3.53923,-1.90674e-07
3.52205,-1.73933e-07
3.5049,-1.58664e-07
3.48779,-1.44736e-07
