Timestamp,Duty Cycle,Velocity (RPM),Position (ticks),Current (A),Temp (°C),Bus Voltage (V)
[T+00:02.02],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:02.24],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:02.44],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:02.64],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:02.84],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:03.04],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:03.24],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:03.44],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:03.64],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:03.84],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:04.04],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:04.24],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:04.44],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:04.64],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:04.84],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:05.04],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:05.24],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:05.44],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:05.64],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:05.84],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:06.04],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:06.26],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:06.46],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:06.66],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:06.86],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:07.06],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:07.26],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:07.46],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:07.66],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:07.86],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:08.06],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:08.26],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:08.46],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:08.66],0.0,0.0,0.0,0.0,0.0,0.0
[T+00:08.86],0.0,0.0,0.0,0.0,0.0,0.0
