acceleration,angular_velocity
2.49652,-0.532543
1.87198,0.286991
1.40195,-0.250965
1.04861,0.109881
0.78308,-0.121243
0.583532,0.0362756
0.433583,-0.0626092
0.320891,0.00672802
0.236213,-0.0351168
0.17258,-0.00428427
0.124768,-0.021649
0.088844,-0.00766786
0.0618563,-0.0145925
0.0415831,-0.00802239
0.0263571,-0.0105468
0.0149237,-0.00728738
0.00634108,-0.00798013
0.000126581,-0.0152303
-0.00497428,-0.00118404
-0.00859778,-0.008058
-0.0112949,-0.00316588
-0.0133193,-0.00522391
-0.0148263,-0.00334717
-0.0159515,-0.00382631
-0.0167858,-0.00300494
-0.0174039,-0.00299326
-0.0178582,-0.00256146
-0.0181903,-0.00241621
-0.01843,-0.00214341
-0.0186007,-0.00197905
-0.0187193,-0.00178242
-0.0187989,-0.00163184
-0.0188492,-0.00147911
-0.0188775,-0.00134981
-0.0188893,-0.00122689
-0.0188887,-0.0011183
-0.0188787,-0.00101772
-0.0188619,-0.000927285
-0.0188398,-0.000844373
-0.0188138,-0.000769242
-0.0187849,-0.000700686
-0.0187538,-0.000638375
-0.0187211,-0.000581555
-0.0186873,-0.00052975
-0.0186525,-0.00048222
-0.0186171,-0.000439407
-0.0185813,-0.000400339
-0.0185451,-0.000364825
-0.0185087,-0.000332434
-0.0184721,-0.000302948
-0.0184355,-0.000276072
-0.0183988,-0.00025119
-0.018362,-0.000228825
-0.0183253,-0.000208563
-0.0182886,-0.000190084
-0.0182519,-0.000173266
-0.0182153,-0.000157932
-0.0181787,-0.000143966
-0.0181422,-0.000131236
-0.0181057,-0.000119624
-0.0180693,-0.000109059
-0.018033,-9.93944e-05
-0.0179967,-9.06073e-05
-0.0179605,-8.26201e-05
-0.0179244,-7.53328e-05
-0.0178883,-6.85291e-05
-0.0178523,-6.21733e-05
-0.0178164,-5.67048e-05
-0.0177806,-5.16203e-05
-0.0177448,-4.707e-05
-0.0177091,-4.28372e-05
-0.0176735,-3.90892e-05
-0.0176379,-3.56184e-05
-0.0176024,-3.24239e-05
-0.017567,-2.95767e-05
-0.0175316,-2.69665e-05
-0.0174964,-2.46002e-05
-0.0174612,-2.24373e-05
-0.017426,-2.04701e-05
-0.017391,-1.80336e-05
-0.017356,-1.65496e-05
-0.017321,-1.5035e-05
-0.0172862,-1.38207e-05
-0.0172514,-1.26346e-05
-0.0172167,-1.1605e-05
-0.017182,-1.06375e-05
-0.0171475,-9.77302e-06
-0.017113,-8.97479e-06
-0.0170785,-8.25297e-06
-0.0170442,-7.59125e-06
-0.0170099,-6.98638e-06
-0.0169756,-6.4348e-06
-0.0169415,-5.93536e-06
-0.0169074,-5.47771e-06
-0.0168734,-5.03588e-06
-0.0168394,-4.62038e-06
-0.0168055,-4.05058e-06
-0.0167717,-3.3487e-06
-0.016738,-3.27759e-06
-0.0167043,-2.99157e-06
-0.0166707,-2.8868e-06
-0.0166371,-2.72504e-06
-0.0166037,-2.63574e-06
-0.0165703,-2.52096e-06
-0.0165369,-2.43417e-06
-0.0165036,-2.3417e-06
-0.0164704,-2.27358e-06
-0.0164373,-2.20045e-06
-0.0164042,-2.13737e-06
-0.0163712,-2.07462e-06
-0.0163383,-1.99175e-06
-0.0163054,-1.82426e-06
-0.0162726,-1.79054e-06
-0.0162398,-1.69284e-06
-0.0162072,-1.64266e-06
-0.0161746,-1.57289e-06
-0.016142,-1.52271e-06
-0.0161095,-1.46812e-06
-0.0160771,-1.43198e-06
-0.0160448,-1.39803e-06
-0.0160125,-1.37586e-06
-0.0159803,-1.35484e-06
-0.0159481,-1.35473e-06
-0.015916,-1.30677e-06
-0.015884,-1.29896e-06
-0.015852,-1.16048e-06
-0.0158201,-1.19356e-06
-0.0157883,-1.14135e-06
-0.0157565,-1.18282e-06
-0.0157248,-1.22264e-06
-0.0156932,-1.17492e-06
-0.0156616,-1.17304e-06
-0.0156301,-1.14445e-06
-0.0155986,-1.13321e-06
-0.0155673,-1.11308e-06
-0.0155359,-1.09961e-06
-0.0155047,-1.08342e-06
-0.0154735,-1.15787e-06
-0.0154423,-1.18059e-06
-0.0154113,-1.14284e-06
-0.0153803,-1.13442e-06
-0.0153493,-1.10899e-06
-0.0153184,-1.0951e-06
-0.0152876,-1.07576e-06
-0.0152568,-1.06102e-06
-0.0152261,-1.05661e-06
-0.0151955,-1.08309e-06
-0.0151649,-1.05348e-06
-0.0151344,-1.05162e-06
-0.015104,-1.03279e-06
-0.0150736,-1.37331e-06
-0.0150432,-1.33214e-06
-0.015013,-1.57447e-06
-0.0149828,-1.35836e-06
-0.0149526,-1.39767e-06
-0.0149225,-1.28738e-06
-0.0148925,-1.27259e-06
-0.0148625,-1.72346e-06
-0.0148326,-1.57945e-06
-0.0148028,-1.51195e-06
-0.014773,-1.407e-06
-0.0147433,-1.34066e-06
-0.0147136,-1.30773e-06
-0.014684,-1.26253e-06
-0.0146544,-1.2235e-06
-0.014625,-1.10564e-06
-0.0145955,-1.46439e-06
-0.0145662,-1.51876e-06
-0.0145369,-1.4598e-06
-0.0145076,-1.42177e-06
-0.0144784,-1.36654e-06
-0.0144493,-1.32403e-06
-0.0144202,-1.27721e-06
-0.0143912,-1.23636e-06
-0.0143622,-1.19512e-06
-0.0143333,-1.15715e-06
-0.0143045,-1.12008e-06
-0.0142757,-1.08516e-06
-0.014247,-1.05149e-06
-0.0142183,-1.01948e-06
-0.0141897,-9.88736e-07
-0.0141612,-9.21115e-07
-0.0141327,-8.61054e-07
-0.0141042,-8.57273e-07
-0.0140758,-8.25917e-07
-0.0140475,-8.12802e-07
-0.0140193,-7.89635e-07
-0.013991,-7.73423e-07
-0.0139629,-7.86677e-07
-0.0139348,-1.17457e-06
-0.0139068,-9.96223e-07
-0.0138788,-1.07181e-06
-0.0138508,-9.79931e-07
-0.013823,-9.8692e-07
-0.0137952,-9.34498e-07
-0.0137674,-9.1928e-07
-0.0137397,-8.82846e-07
-0.0137121,-8.60621e-07
-0.0136845,-8.31108e-07
-0.0136569,-8.07314e-07
-0.0136294,-7.81319e-07
-0.013602,-7.88367e-07
-0.0135747,-1.27623e-06
-0.0135473,-1.0807e-06
-0.0135201,-1.12211e-06
-0.0134929,-1.00011e-06
